timestamp,project_id,phase,registration_tx_time_s,initial_model_ipfs_cid,initial_keys_hash
1778161080,4,register_project,0.1315,QmWLdJSJ6qsP1y9E8eByafkAKQJXiCmYAWiWHCqaEE5Ec2,2bc4e1817ef099727e20766fbe214b4514604b4bdafab4da7787dbb6ba7a7dee
1778161140,4,publish,1,0.086,QmWLdJSJ6qsP1y9E8eByafkAKQJXiCmYAWiWHCqaEE5Ec2,symm
1778161227,4,register_project,0.1039,QmUT88uE876fyDA4Z1wnafVZgLRcijhaeKwHDWHivQWcci,24d0d96dcb75a6d7e2e9d02f51fd2942b09e7e86709eb0a48b088ee4373ce7b8
1778161230,4,publish,1,0.0494,QmUT88uE876fyDA4Z1wnafVZgLRcijhaeKwHDWHivQWcci,symm
1778163450,4,register_project,0.1012,QmR6i272eXccYZa3UwqYXbLZh3FRdoPPq5cXBEnck1JbQ7,1cf82e246618ffa45b8d72084fb662bbd604f5e3e4f5f40b31c29407b40182dc
1778163453,4,publish,1,0.0499,QmR6i272eXccYZa3UwqYXbLZh3FRdoPPq5cXBEnck1JbQ7,symm
1778163473,4,aggregate,1,2.8309,1,Qme61tghNZfeHc9RjscunHsTQTzRghwoC4hqyUps9XSTPN,0.0
1778163473,4,publish,2,0.0536,Qme61tghNZfeHc9RjscunHsTQTzRghwoC4hqyUps9XSTPN,asymm
1778163496,4,register_project,0.0872,QmWKpMiYz5bZqPiwFfK3eK3tM1GAMSQsVSSkUZK79EvuDt,3eb111586a68beafb51eb263ba6b4ce05ee09f8ea8d08eac3a6ad800858f3f53
1778163498,4,publish,1,0.0526,QmWKpMiYz5bZqPiwFfK3eK3tM1GAMSQsVSSkUZK79EvuDt,symm
1778163518,4,aggregate,1,3.0004,1,QmZCDqCztNLbkXX2fktiD9JTW4FcYunoMYbMkegpkN5sNr,0.0
1778163518,4,publish,2,0.057,QmZCDqCztNLbkXX2fktiD9JTW4FcYunoMYbMkegpkN5sNr,asymm
1778163581,4,register_project,0.0912,QmQKQUmU5cEr5aF7LSphJmzgfvggi7hrqFZELTipTi5mQJ,beee0bed9816c383d15bc66cb15781e45a094492fe734b08d0d035369fb9d529
1778163593,4,publish,1,0.0699,QmQKQUmU5cEr5aF7LSphJmzgfvggi7hrqFZELTipTi5mQJ,symm
1778163614,4,aggregate,1,3.2853,1,QmXjC24sXqmSMSWp8bc45oPKb3bB2qwpUxuoz6LxYrxikw,0.0
1778163614,4,publish,2,0.0657,QmXjC24sXqmSMSWp8bc45oPKb3bB2qwpUxuoz6LxYrxikw,asymm
1778163674,4,register_project,0.0841,QmZMnL9x4obWn1p37ENB9WQiCE6cQfsKxRrrVZJ7sro5BZ,3dbe76b3ed367aa808314a385f6b9ff49dfb6f52082c5251865be5a9e2022412
1778163675,4,publish,1,0.0667,QmZMnL9x4obWn1p37ENB9WQiCE6cQfsKxRrrVZJ7sro5BZ,symm
1778163696,4,aggregate,1,3.0195,1,QmQ3LTJQpo3aCYfXsArzMz3UxoMkVbzaFNe9bg8qFpScdC,0.0
1778163696,4,publish,2,0.0544,QmQ3LTJQpo3aCYfXsArzMz3UxoMkVbzaFNe9bg8qFpScdC,asymm
1778163712,4,register_project,0.0959,QmWKRmu8RT5EJokoJatfaXRg1KL4DxpCzHmUoEHh6Ktr7R,e863ce8b9b450846586be409b1b85a3d0850f0a5525378f58855b4a4c46f30ab
1778163718,4,publish,1,0.0703,QmWKRmu8RT5EJokoJatfaXRg1KL4DxpCzHmUoEHh6Ktr7R,symm
1778163738,4,aggregate,1,3.1437,1,QmUK2ff3DtDf968JQQzpr6L6a8GTSEsQWTqygtP93HTjJv,0.0
1778163738,4,publish,2,0.0566,QmUK2ff3DtDf968JQQzpr6L6a8GTSEsQWTqygtP93HTjJv,asymm
1778164447,4,register_project,0.096,QmaXawRMS98rbCtyuh4911jf6gpf3LiqMYKM1xzx2oXuen,39e0af3ff78fe206c620fa37e092dff4d5facb25050167d0330664323ca1a52b
1778164451,4,publish,1,0.062,QmaXawRMS98rbCtyuh4911jf6gpf3LiqMYKM1xzx2oXuen,symm
1778164474,4,aggregate,1,3.2549,1,QmTwvTkoL1ZL4ta5zatnrTeXyjCnzQ2eMqbcjBZgSmBpU3,0.0
1778164474,4,publish,2,0.0684,QmTwvTkoL1ZL4ta5zatnrTeXyjCnzQ2eMqbcjBZgSmBpU3,asymm
