timestamp,project_id,phase,registration_tx_time_s,initial_model_hash,initial_keys_hash
1765013227,22,register_project,0.3078,9a0bfdd56dc7f65571c6ede88109150161b11cbc378880e5b8084b431c1a2dcc,96b7338b38d9faa9c03e70160b0851b7f18292c67415a8c9dc51b89548321f3b
1765013229,22,publish,1,0.2396,9a0bfdd56dc7f65571c6ede88109150161b11cbc378880e5b8084b431c1a2dcc,symm
1765013254,22,aggregate,1,3.5812,1,e0fd994e3c222d3b376ff6c3e6faba484e92f3a38672487540c534dde1e4872e,0.0
1770795493,22,register_project,0.1444,7296cb95cbf7a92d5bdb6861436841579eefc4a7aea312177733eef6338ba3ad,ae08967a5a4211037b31a0882a5ab044459178a3ae29823200adc170dc15c288
1770795516,22,register_project,0.1252,1a059c7b80ce32a790b410985e95a64ce3a8d841cc85bf4a6cc92229c0480a23,7ced4afdb08f35654c9e08b951803f62ef770b29b9e0540a7182d7878b551e5a
1772623411,22,register_project,0.1389,QmYZFPJFnU6LgGKVETuFqcDWEuk2tnyhvggSArrGZELsRL,7e5d031144b48099a5222bcc973aeee097c1a0ba09cfe76c7e1a6791ea9236b0
1772623491,22,register_project,0.1299,QmRFZtjKDVh1Jd38bfzpqAfJk8u62CTtmzMTZrV8sozMuv,51fced135827cfc0cef193b35bae8ae715de0454eed2f5a0e3f3896524f5fc82
1772623628,22,register_project,0.1434,QmZVdhgpiwm7d9vYvNonordmHrbih23sMJHNe3QpMPZ5sr,a7035533e19eef3c33cf36128aac3dec7c94b0010260dfbd678930168d743237
1772624018,22,register_project,0.0986,Qmbn4kDS7cPq6Xk6AAXGb1waFX5j1CzTi62FyeYtx2NCbA,d68a47807a4a16dfd7e45b63f913e001b6cf26efc2e008970863026313769aca
