timestamp,project_id,phase,registration_tx_time_s,initial_model_ipfs_cid,initial_keys_hash
1772624094,1,register_project,0.0929,QmWAt4Nh9LFCkX3GjB9jZ2GrZvCpyNz5YsDqCBoL7Tk5Jj,382e72dde5527516ccde3edd92cdcc567cc720f5d0716b2dc5bb5bce93215455
1772624094,1,publish,1,0.0487,QmWAt4Nh9LFCkX3GjB9jZ2GrZvCpyNz5YsDqCBoL7Tk5Jj,symm
1772624117,1,register_project,0.101,QmabAXMCTc8SkR88Eh6eDvr9kXqPLj5yHUGHzv1vqXMgkq,f6d6e7cfb5adb166d52860c96621a2d58e420cb5cc1277e401f24244b94cfca7
1772624119,1,publish,1,0.0545,QmabAXMCTc8SkR88Eh6eDvr9kXqPLj5yHUGHzv1vqXMgkq,symm
1772624345,1,register_project,0.1004,QmeS5YsY8693JrSnFRWEgVYU82pH3mErp3Wtj9AhrMstw7,998236dafc9d2360c0d094b743bfaf0bf4b7998af525be65863830af59d49993
1772624347,1,publish,1,0.0836,QmeS5YsY8693JrSnFRWEgVYU82pH3mErp3Wtj9AhrMstw7,symm
1772624367,1,aggregate,1,2.6366,1,QmXWvft8pQbXubsxow1M7zdcdBbqfp9JtknCnVXGyqeqBU,0.0
1778164534,1,register_project,0.0958,QmXeDEKDus3bAoSj9cTWZGZeLReszjbGPp3zpnZ71cvHub,0f885a2e062f4c0f8d53dee256ff103feeab80a893691ad6c3a73500c02013db
1778164541,1,publish,1,0.0726,QmXeDEKDus3bAoSj9cTWZGZeLReszjbGPp3zpnZ71cvHub,symm
1778164559,1,aggregate,1,3.1166,1,QmdpqBwKQMzntAPJYpKKJrWQRSNEsBy7bt1WHVw6G1LwR5,0.0
1778164559,1,publish,2,0.0548,QmdpqBwKQMzntAPJYpKKJrWQRSNEsBy7bt1WHVw6G1LwR5,asymm
1778164867,1,register_project,0.0929,Qmcceo7WkTVp97A68wH5JFcVoTeRSu1JGakZpAmf2BxKp4,b8a2dc3ef3f1637b8fc64de90d3a549e11b3083ec5361390326c67d920720114
1778164876,1,publish,1,0.094,Qmcceo7WkTVp97A68wH5JFcVoTeRSu1JGakZpAmf2BxKp4,symm
1778164894,1,aggregate,1,2.894,1,QmUyEuQ8eSZomVgJc8nYfbdssbp98WDs2qubsCppPTw8C3,0.0
