timestamp,project_id,phase,registration_tx_time_s,initial_model_ipfs_cid,initial_keys_hash
1770842698,501,register_project,0.1904,QmZXNxf1CULS958QU2L9WFqNgcFsgDbZ33qbwPV3gERdD3,bf98a20035379180546927eb1b6310735d31d10fdcd7d0db61da24f6125df1b1
1770842705,501,publish,1,0.094,QmZXNxf1CULS958QU2L9WFqNgcFsgDbZ33qbwPV3gERdD3,symm
1770842817,501,register_project,0.1303,QmNfnJShM89mapL1aG1EazGnDdQ4CQfRZgzukjAj3VEffG,b6e01a7184078a91d9c973301feadf734941469fd3f80f0f1a92981d2cf74710
1770842820,501,publish,1,0.063,QmNfnJShM89mapL1aG1EazGnDdQ4CQfRZgzukjAj3VEffG,symm
1770842841,501,aggregate,1,3.5464,1,QmeZLqqzzP8ieqemPKmCmLcGPqaWJ3byPTqNuQUK1SnFVS,0.0
1770842841,501,publish,2,0.058,QmeZLqqzzP8ieqemPKmCmLcGPqaWJ3byPTqNuQUK1SnFVS,asymm
1770842864,501,aggregate,2,3.5743,1,QmcRsPJnqTUBNDpmca8iqADPRMQKEaMwMALqsn9FcRw1C6,0.0
1770842865,501,publish,3,0.0544,QmcRsPJnqTUBNDpmca8iqADPRMQKEaMwMALqsn9FcRw1C6,symm
1770843009,501,register_project,0.0999,Qmei8NNVnioptFf3LSR9UAAJDv3Y853pxDyMGc38gf9Fhu,6a5c56c5b6ccdb0ea1eb3cb0147b1668989c2b1486f17575e08441a67180522a
1770843010,501,publish,1,0.0598,Qmei8NNVnioptFf3LSR9UAAJDv3Y853pxDyMGc38gf9Fhu,symm
1770843198,501,register_project,0.1064,QmU6BQx51fw9m8FQZt4q8BfuehupVWgSPt9JYV7cFJPQSX,42908c35c1bbb5b403e8675649cbef28e16b19d14d64dd9ab838b70514ca8a60
1770843201,501,publish,1,0.0509,QmU6BQx51fw9m8FQZt4q8BfuehupVWgSPt9JYV7cFJPQSX,symm
1770843222,501,aggregate,1,3.6175,1,QmQTecTZXd9knGLZRN8aWSGjZCLWrXYG1tzG6Ui2a9FXN6,0.0
1770843222,501,publish,2,0.0731,QmQTecTZXd9knGLZRN8aWSGjZCLWrXYG1tzG6Ui2a9FXN6,asymm
1770875580,501,register_project,0.2365,QmWxLaEjMQfj6tyXHFFHM8XYmcYwkSZx8Hvg3ovCWVBUHk,3da7d1b7418820285324f18795f11076ef345e84c10f1e53f8f3d8c5f333b8b8
1770875581,501,publish,1,0.094,QmWxLaEjMQfj6tyXHFFHM8XYmcYwkSZx8Hvg3ovCWVBUHk,symm
1770875602,501,aggregate,1,3.2965,1,QmdgTf5VdPxXseTEESf6UF6sxhAVaVo97BEnpAeNp84qnF,0.0
1770875602,501,publish,2,0.073,QmdgTf5VdPxXseTEESf6UF6sxhAVaVo97BEnpAeNp84qnF,asymm
