timestamp,project_id,phase,registration_tx_time_s,initial_model_hash,initial_keys_hash
1770795584,100,register_project,0.0705,a3ce05c1c9fd8616e18c2a9eeb9e783593779e591da279c56245fe75edbf496f,7057dcef5555aec0c4a1529ff5e975ee34d415b7c44b09fad2b8c9c8dc074a03
1770795730,100,register_project,0.0693,a3cce53019da428de9835379c0b98e1c5f3e928bea643db6b18c5cffa1774491,f4b19fc4d22e75818dd1104a68b488c04aea1475d1b92e3db453a22e259f0099
1770795731,100,publish,1,0.0865,a3cce53019da428de9835379c0b98e1c5f3e928bea643db6b18c5cffa1774491,symm
1770795761,100,aggregate,1,2.8253,1,f0919278e14a564448beeb7f2cd6b35e5cfe7bcb1eec9ad741c8a461cbc329b5,0.0
1770795761,100,publish,2,0.0557,f0919278e14a564448beeb7f2cd6b35e5cfe7bcb1eec9ad741c8a461cbc329b5,asymm
1770795792,100,aggregate,2,3.0634,1,7b70286bf2a17749c05f02871defcd58d88d31e7863a213b7eeedf5510d99e43,0.0
1770795792,100,publish,3,0.0483,7b70286bf2a17749c05f02871defcd58d88d31e7863a213b7eeedf5510d99e43,symm
1770795823,100,aggregate,3,3.142,1,c3054d847284aa8da0003f3a9453b03c8f558c8c10d5887de683cb345832ec7b,0.0
1770795823,100,publish,4,0.0725,c3054d847284aa8da0003f3a9453b03c8f558c8c10d5887de683cb345832ec7b,asymm
1770795853,100,aggregate,4,3.065,1,ed2da0947de667389088649a9bf90bfcc372524f1a95ec8cf9623446395c3557,0.0
1770795853,100,publish,5,0.0491,ed2da0947de667389088649a9bf90bfcc372524f1a95ec8cf9623446395c3557,symm
1770795884,100,aggregate,5,3.1405,1,cee475666aa0698284c74116c02c114a0eadcce756b53be3c5be660544165145,0.0
1770795884,100,publish,6,0.0521,cee475666aa0698284c74116c02c114a0eadcce756b53be3c5be660544165145,asymm
1770795916,100,aggregate,6,2.9939,1,e570c24b3963a48ec7f08f456f99abf065edc8b0cb717be5de6842c45731335b,0.0
1770795916,100,publish,7,0.0641,e570c24b3963a48ec7f08f456f99abf065edc8b0cb717be5de6842c45731335b,symm
1770795947,100,aggregate,7,2.9483,1,48c2af4fb7e3f21a17505a2d50c87ec8cbf5cc89562929a8a3c721bfdfbb6e67,0.0
1770795947,100,publish,8,0.0508,48c2af4fb7e3f21a17505a2d50c87ec8cbf5cc89562929a8a3c721bfdfbb6e67,asymm
1770795977,100,aggregate,8,2.8407,1,784009799c9f15e8dad0805ecd8a72aff3fd01ac408d457a0f75b523d01f5c2b,0.0
